IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1001098,Bert Blyleven,blylebe01,2004,BBWAA,506.0,380.0,179.0,N,Player,
1002018,Joe Carter,cartejo01,2004,BBWAA,506.0,380.0,19.0,N,Player,
1002494,Dave Concepcion,conceda01,2004,BBWAA,506.0,380.0,57.0,N,Player,
1002996,Danny Darwin,darwida01,2004,BBWAA,506.0,380.0,0.0,N,Player,
1003091,Andre Dawson,dawsoan01,2004,BBWAA,506.0,380.0,253.0,N,Player,
1003473,Doug Drabek,drabedo01,2004,BBWAA,506.0,380.0,2.0,N,Player,
1003660,Dennis Eckersley,eckerde01,2004,BBWAA,506.0,380.0,421.0,Y,Player,
1003719,Jim Eisenreich,eisenji01,2004,BBWAA,506.0,380.0,3.0,N,Player,
1004026,Cecil Fielder,fieldce01,2004,BBWAA,506.0,380.0,1.0,N,Player,
1004557,Steve Garvey,garvest01,2004,BBWAA,506.0,380.0,123.0,N,Player,
1004894,Rich Gossage,gossari01,2004,BBWAA,506.0,380.0,206.0,N,Player,
1005706,Keith Hernandez,hernake01,2004,BBWAA,506.0,380.0,22.0,N,Player,
1008161,Dennis Martinez,martide01,2004,BBWAA,506.0,380.0,16.0,N,Player,
1008261,Don Mattingly,mattido01,2004,BBWAA,506.0,380.0,65.0,N,Player,
1006515,Tommy John,johnto01,2004,BBWAA,506.0,380.0,111.0,N,Player,
1006885,Jimmy Key,keyji01,2004,BBWAA,506.0,380.0,3.0,N,Player,
1009004,Kevin Mitchell,mitchke01,2004,BBWAA,506.0,380.0,2.0,N,Player,
1009040,Paul Molitor,molitpa01,2004,BBWAA,506.0,380.0,431.0,Y,Player,
1009211,Jack Morris,morrija02,2004,BBWAA,506.0,380.0,133.0,N,Player,
1009355,Dale Murphy,murphda05,2004,BBWAA,506.0,380.0,43.0,N,Player,
1009427,Randy Myers,myersra01,2004,BBWAA,506.0,380.0,1.0,N,Player,
1011400,Juan Samuel,samueju01,2004,BBWAA,506.0,380.0,2.0,N,Player,
1011411,Ryne Sandberg,sandbry01,2004,BBWAA,506.0,380.0,309.0,N,Player,
1010000,Dave Parker,parkeda01,2004,BBWAA,506.0,380.0,53.0,N,Player,
1010157,Terry Pendleton,pendlte01,2004,BBWAA,506.0,380.0,1.0,N,Player,
1010897,Jim Rice,riceji01,2004,BBWAA,506.0,380.0,276.0,N,Player,
1012175,Lee Smith,smithle02,2004,BBWAA,506.0,380.0,185.0,N,Player,
1012532,Dave Stieb,stiebda01,2004,BBWAA,506.0,380.0,7.0,N,Player,
1012743,Bruce Sutter,suttebr01,2004,BBWAA,506.0,380.0,301.0,N,Player,
1012941,Bob Tewksbury,tewksbo01,2004,BBWAA,506.0,380.0,0.0,N,Player,
1013157,Alan Trammell,trammal01,2004,BBWAA,506.0,380.0,70.0,N,Player,
1013327,Fernando Valenzuela,valenfe01,2004,BBWAA,506.0,380.0,19.0,N,Player,
