IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1001157,Bobby Bonds,bondsbo01,All-Star Game MVP,1973,ML,,
1001868,Bert Campaneris,campabe01,Babe Ruth Award,1973,AL,,SS
1009973,Jim Palmer,palmeji01,Cy Young Award,1973,AL,,
1011708,Tom Seaver,seaveto01,Cy Young Award,1973,NL,,
1011682,George Scott,scottge02,Gold Glove,1973,AL,,1B
1005033,Bobby Grich,grichbo01,Gold Glove,1973,AL,,2B
1011055,Brooks Robinson,robinbr01,Gold Glove,1973,AL,,3B
1009334,Thurman Munson,munsoth01,Gold Glove,1973,AL,,C
1001031,Paul Blair,blairpa01,Gold Glove,1973,AL,,OF
1009893,Amos Otis,otisam01,Gold Glove,1973,AL,,OF
1012415,Mickey Stanley,stanlmi01,Gold Glove,1973,AL,,OF
1006660,Jim Kaat,kaatji01,Gold Glove,1973,AL,,P
1000786,Mark Belanger,belanma01,Gold Glove,1973,AL,,SS
1006622,Mike Jorgensen,jorgemi01,Gold Glove,1973,NL,,1B
1009178,Joe Morgan,morgajo02,Gold Glove,1973,NL,,2B
1010638,Doug Rader,raderdo02,Gold Glove,1973,NL,,3B
1000826,Johnny Bench,benchjo01,Gold Glove,1973,NL,,C
1001157,Bobby Bonds,bondsbo01,Gold Glove,1973,NL,,OF
1002100,Cesar Cedeno,cedence01,Gold Glove,1973,NL,,OF
1003088,Willie Davis,daviswi02,Gold Glove,1973,NL,,OF
1004662,Bob Gibson,gibsobo01,Gold Glove,1973,NL,,P
1008812,Roger Metzger,metzgro01,Gold Glove,1973,NL,,SS
1005817,John Hiller,hillejo01,Hutch Award,1973,ML,,
1011447,Ron Santo,santoro01,Lou Gehrig Memorial Award,1973,ML,,
1006308,Reggie Jackson,jacksre01,Most Valuable Player,1973,AL,,
1011217,Pete Rose,rosepe01,Most Valuable Player,1973,NL,,
1006678,Al Kaline,kalinal01,Roberto Clemente Award,1973,ML,,
1001649,Al Bumbry,bumbral01,Rookie of the Year,1973,AL,,
1008255,Gary Matthews,matthga01,Rookie of the Year,1973,NL,,
1008289,John Mayberry,maybejo01,TSN All-Star,1973,AL,,1B
1001942,Rod Carew,carewro01,TSN All-Star,1973,AL,,2B
1000505,Sal Bando,bandosa01,TSN All-Star,1973,AL,,3B
1009334,Thurman Munson,munsoth01,TSN All-Star,1973,AL,,C
1005989,Ken Holtzman,holtzke01,TSN All-Star,1973,AL,,LHP
1006308,Reggie Jackson,jacksre01,TSN All-Star,1973,AL,,OF
1009338,Bobby Murcer,murcebo01,TSN All-Star,1973,AL,,OF
1009893,Amos Otis,otisam01,TSN All-Star,1973,AL,,OF
1009973,Jim Palmer,palmeji01,TSN All-Star,1973,AL,,RHP
1001868,Bert Campaneris,campabe01,TSN All-Star,1973,AL,,SS
1010188,Tony Perez,perezto01,TSN All-Star,1973,NL,,1B
1006440,Davey Johnson,johnsda02,TSN All-Star,1973,NL,,2B
1003864,Darrell Evans,evansda01,TSN All-Star,1973,NL,,3B
1000826,Johnny Bench,benchjo01,TSN All-Star,1973,NL,,C
1001608,Ron Bryant,bryanro01,TSN All-Star,1973,NL,,LHP
1001157,Bobby Bonds,bondsbo01,TSN All-Star,1973,NL,,OF
1002100,Cesar Cedeno,cedence01,TSN All-Star,1973,NL,,OF
1011217,Pete Rose,rosepe01,TSN All-Star,1973,NL,,OF
1011708,Tom Seaver,seaveto01,TSN All-Star,1973,NL,,RHP
1011311,Bill Russell,russebi01,TSN All-Star,1973,NL,,SS
1005817,John Hiller,hillejo01,TSN Fireman of the Year,1973,AL,,
1008144,Mike Marshall,marshmi01,TSN Fireman of the Year,1973,NL,,
1006308,Reggie Jackson,jacksre01,TSN Major League Player of the Year,1973,ML,,
1009973,Jim Palmer,palmeji01,TSN Pitcher of the Year,1973,AL,,
1001608,Ron Bryant,bryanro01,TSN Pitcher of the Year,1973,NL,,
1006308,Reggie Jackson,jacksre01,TSN Player of the Year,1973,AL,,
1001157,Bobby Bonds,bondsbo01,TSN Player of the Year,1973,NL,,
1006308,Reggie Jackson,jacksre01,World Series MVP,1973,ML,,
